7509841277464','CDDP-7746','ALEJANDRA ÁVALOS','HOMBRE DE AMOR / AMOR DE MUJER (REMIXES)','6','MXF602000348','AMOR DE MUJER (DEFECTIVE NOISE LOVE MIX)','INTÉRPRETES FEMENINAS','Fonarte Latino SA de CV','Fonarte Latino SA de CV','2020','2020','
7509841277464','CDDP-7746','ALEJANDRA ÁVALOS','HOMBRE DE AMOR / AMOR DE MUJER (REMIXES)','7','MXF602000349','AMOR DE MUJER (RÉTROX TRANCE MIX)','INTÉRPRETES FEMENINAS','Fonarte Latino SA de CV','Fonarte Latino SA de CV','2020','2020','
7509841277464','CDDP-7746','ALEJANDRA ÁVALOS','HOMBRE DE AMOR / AMOR DE MUJER (REMIXES)','8','MXF602000350','AMOR DE MUJER (CARLOS CUEVAS REMIX)','INTÉRPRETES FEMENINAS','Fonarte Latino SA de CV','Fonarte Latino SA de CV','2020','2020','
7509841277464','CDDP-7746','ALEJANDRA ÁVALOS','HOMBRE DE AMOR / AMOR DE MUJER (REMIXES)','9','MXF602000351','AMOR DE MUJER (ROY & LUIS SERRANO ELECTROCUMBIA REMIX)','INTÉRPRETES FEMENINAS','Fonarte Latino SA de CV','Fonarte Latino SA de CV','2020','2020','
7509841277471','CDDP-7747','MARCOS LIZAMA','CANCIONES PARA UN NIÑO COMO TÚ','1','MXF602000352','DIN DON DAN','INFANTIL','DISCOS NERVIO','Fonarte Latino SA de CV','1973','2020','
7509841277471','CDDP-7747','MARCOS LIZAMA','CANCIONES PARA UN NIÑO COMO TÚ','2','MXF602000353','EL GLOBO','INFANTIL','DISCOS NERVIO','Fonarte Latino SA de CV','1973','2020','
7509841277471','CDDP-7747','MARCOS LIZAMA','CANCIONES PARA UN NIÑO COMO TÚ','3','MXF602000354','EL NARANJO','INFANTIL','DISCOS NERVIO','Fonarte Latino SA de CV','1973','2020','
7509841277471','CDDP-7747','MARCOS LIZAMA','CANCIONES PARA UN NIÑO COMO TÚ','4','MXF602000355','EL ARROYUELO','INFANTIL','DISCOS NERVIO','Fonarte Latino SA de CV','1973','2020','
7509841277471','CDDP-7747','MARCOS LIZAMA','CANCIONES PARA UN NIÑO COMO TÚ','5','MXF602000356','LA LOCOMOTORA','INFANTIL','DISCOS NERVIO','Fonarte Latino SA de CV','1973','2020','
7509841277471','CDDP-7747','MARCOS LIZAMA','CANCIONES PARA UN NIÑO COMO TÚ','6','MXF602000357','IVÁN','INFANTIL','DISCOS NERVIO','Fonarte Latino SA de CV','1973','2020','
