Start Date	03/27/2026
End Date	04/30/2026
Report Type	Apple Music
Storefront Name	Apple Identifier	ISRC	Vendor Identifier	Content Title	Artist	Media Type	Spatial Availability Indicator	Label/Studio/Network	Grid	Product	Total  Royalty Bearing Plays	Net Royalty Total	Currency	Offline Indicator
AE	180112486	MXF600600247	MXF600600247	Tierra Mestiza	Los Folkloristas	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	1	0.031594	AED	0
AE	289351963	MXF600800017	MXF600800017	Punteado (estudio Para Charango)	Ernesto Cavour	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	1	0.031594	AED	0
AE	292661699	MXF600800054	MXF600800054	Décimas	Pedro Aznar	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	6	0.189564	AED	0
AE	319834685	MXF600900156	MXF600900156	Es Por Ti	Inspector	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	1	0.031594	AED	0
AE	319834694	MXF600900157	MXF600900157	Y Qué	Inspector	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	1	0.031594	AED	1
AE	319834694	MXF600900157	MXF600900157	Y Qué	Inspector	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	3	0.094782	AED	0
AE	335171833	MXF600900723	MXF600900723	El Hombre del Piano	Mexicanto	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	1	0.031594	AED	0
AE	342853490	MXF600900886	MXF600900886	Pero No Te Extraño	Liliana Felipe, Jesusa Rodríguez	1	0	Fonarte Latino SA de CV		Individual Monthly PAID	1	0.031594	AED	0
AE	364390246	MXF601000122	MXF601000122	Leil El Asheen	Fadi El Saadi	1	0	Fonarte Latino SA de CV		Individual Monthly PAID	1	0.031594	AED	0
AE	513165177	MXF601200315	MXF601200315	De Beirut a Cosamaloapan	Mauricio Sotelo, Eblen Macari M, Eblen Macari	1	0	Fonarte Latino SA de CV		Individual Monthly PAID	1	0.031594	AED	0
AE	538520986	MXF601200640	MXF601200640	Divina Tú	Carlos Macías	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	2	0.063188	AED	0
AE	538521369	MXF601200642	MXF601200642	Amarte Así	Carlos Macías	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	1	0.031594	AED	0
AE	555716419	MXF601200792	MXF601200792	Set El Hosn	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	1	0.031594	AED	0
AE	555716421	MXF601200794	MXF601200794	Deg Al Mani	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	1	0.031594	AED	1
AE	555716421	MXF601200794	MXF601200794	Deg Al Mani	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	5	0.157970	AED	0
AE	566614232	MXF601200995	MXF601200995	Mil Vidas (feat. Fernanda Castillo)	Carlos Macías	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	1	0.031594	AED	0
AE	934536124	MXF601401007	MXF601401007	La Iguana	Son de Madera	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	1	0.031594	AED	0
AE	1105096895	MXF601600155	MXF601600155	Ana Fi Entizarak	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	1	0.031594	AED	0
AE	1109552168	MXF601600183	MXF601600183	Amaneceres	Los Músicos de José	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	1	0.031594	AED	0
AE	1502764064	MXF602000156	MXF602000156	Ama Barawah	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	2	0.063188	AED	0
AE	1606804455	MXF602200034	MXF602200034	Laylat Hob ليلة حُب (Noche de Amor)	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	1	0.031594	AED	0
AE	1712350533	MXF602300539	MXF602300539	Daloona (دلعونا)	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	1	0.031594	AED	0
AE	1712350536	MXF602300542	MXF602300542	Dag Al Mani Mix (دق الماني مكس)	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	1	0.031594	AED	0
AE	1745169027	MXF602400189	MXF602400189	Al Raqqisa (الراقصه)	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	6	0.189564	AED	0
AE	1777469273	MXF602400330	MXF602400330	Dakhlek wl Hawa (دخلك والهوا شمالي)	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	3	0.094782	AED	1
AE	1777469277	MXF602400334	MXF602400334	Ya Mdagdag bin Ame (يا مدقدق بن عمي)	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	2	0.063188	AED	1
AE	1839991369	MXF602500191	MXF602500191	Hayart Albe Maak حيرت قلبي معاك	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	1	0.031594	AED	0
AE	1840703062	ARDO22500002	ARDO22500002	Querida Yo	Zilvi Roselli, Mauro Fogliatti	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	1	0.031594	AED	0
AE	1847717771	MXF602500270	MXF602500270	2/4 Maalay معلايه	Diana Rash	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	2	0.063188	AED	0
AE	1891560899	MXF602600092	MXF602600092	Zekrayati (زكراياتي)	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	3	0.094782	AED	0
AE	555716421	MXF601200794	MXF601200794	Deg Al Mani	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Student Individual Monthly PAID	5	0.050000	AED	0
AE	555716421	MXF601200794	MXF601200794	Deg Al Mani	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Student Individual Monthly PAID	3	0.030000	AED	1
AE	1683409286	MXF602300297	MXF602300297	El Oyoun Soud (العيون السود)	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Student Individual Monthly PAID	1	0.010000	AED	1
AE	1745169027	MXF602400189	MXF602400189	Al Raqqisa (الراقصه)	Fadi El Saadi	1	0	Fonarte Latino, S.A. de C.V.		Student Individual Monthly PAID	1	0.010000	AED	0
