Start Date	12/26/2025
End Date	01/29/2026
Report Type	Apple Music
Storefront Name	Apple Identifier	Membership Type	Quantity	Net Royalty	Net Royalty Total	Currency	ISRC	Item Title	Item Artist	Item Type	Media Type	Vendor Identifier	Offline Indicator	Label/Studio/Network	Grid
AE	1482678962	Individual Monthly PAID	1	0.03044	0.03044	AED	MXF601900378	SeguirÃ© Mi Viaje	Regina Orozco	0	1	MXF601900378	0	Fonarte Latino, S.A. de C.V.	
AE	1482678968	Individual Monthly PAID	7	0.03044	0.21308	AED	MXF601900384	PopurrÃ­ de Mujeres Galantes	Regina Orozco	0	1	MXF601900384	0	Fonarte Latino, S.A. de C.V.	
AE	1482678968	Individual Monthly PAID	4	0.03044	0.12176	AED	MXF601900384	PopurrÃ­ de Mujeres Galantes	Regina Orozco	0	1	MXF601900384	1	Fonarte Latino, S.A. de C.V.	
AE	1606804455	Individual Monthly PAID	1	0.03044	0.03044	AED	MXF602200034	Laylat Hob Ù„ÙŠÙ„Ø© Ø­ÙØ¨ (Noche de Amor)	Fadi El Saadi	0	1	MXF602200034	0	Fonarte Latino, S.A. de C.V.	
AE	1685003903	Individual Monthly PAID	1	0.03044	0.03044	AED	MXF602300314	A MarÃ­a Rita	Ernesto Anaya	0	1	MXF602300314	0	Fonarte Latino, S.A. de C.V.	
AE	1712350533	Individual Monthly PAID	2	0.03044	0.06088	AED	MXF602300539	Daloona (Ø¯Ù„Ø¹ÙˆÙ†Ø§)	Fadi El Saadi	0	1	MXF602300539	0	Fonarte Latino, S.A. de C.V.	
AE	1712350535	Individual Monthly PAID	1	0.03044	0.03044	AED	MXF602300541	Jobe Iraqui Mix (Ø¬ÙˆØ¨ÙŠ Ø¹Ø±Ø§Ù‚ÙŠ Ù…ÙƒØ³)	Fadi El Saadi	0	1	MXF602300541	0	Fonarte Latino, S.A. de C.V.	
AE	1712350536	Individual Monthly PAID	5	0.03044	0.1522	AED	MXF602300542	Dag Al Mani Mix (Ø¯Ù‚ Ø§Ù„Ù…Ø§Ù†ÙŠ Ù…ÙƒØ³)	Fadi El Saadi	0	1	MXF602300542	0	Fonarte Latino, S.A. de C.V.	
AE	1712350537	Individual Monthly PAID	3	0.03044	0.09132	AED	MXF602300543	Debek Debaeky (Ø¯Ø¨Ùƒ Ø¯Ø¨ÙŠÙƒÙŠ)	Fadi El Saadi	0	1	MXF602300543	0	Fonarte Latino, S.A. de C.V.	
AE	1715055396	Individual Monthly PAID	3	0.03044	0.09132	AED	MXF602300555	Yo Soy Feliz	Lucero	0	1	MXF602300555	0	Fonarte Latino, S.A. de C.V.	
AE	1847717771	Individual Monthly PAID	4	0.03044	0.12176	AED	MXF602500270	2/4 Maalay Ù…Ø¹Ù„Ø§ÙŠÙ‡	Diana Rash	0	1	MXF602500270	0	Fonarte Latino, S.A. de C.V.	
AE	1847717772	Individual Monthly PAID	1	0.03044	0.03044	AED	MXF602500271	2/4 Shaabi Emirates Ø´Ø¹Ø¨ÙŠ Ø§Ù…Ø§Ø±Ø§ØªÙŠ	Diana Rash	0	1	MXF602500271	0	Fonarte Latino, S.A. de C.V.	
AE	1854848530	Individual Monthly PAID	1	0.03044	0.03044	AED	MXF602500217	Diminuendo (feat. El David Aguilar)	Miguel Inzunza	0	1	MXF602500217	0	Fonarte Latino, S.A. de C.V.	
AE	555716421	Student Individual Monthly PAID	3	0.009167	0.027501	AED	MXF601200794	Deg Al Mani	Fadi El Saadi	0	1	MXF601200794	0	Fonarte Latino, S.A. de C.V.	
AE	555716421	Student Individual Monthly PAID	9	0.009167	0.082503	AED	MXF601200794	Deg Al Mani	Fadi El Saadi	0	1	MXF601200794	1	Fonarte Latino, S.A. de C.V.	
AE	1502764072	Student Individual Monthly PAID	1	0.009167	0.009167	AED	MXF602000164	El Molayeteen (Dabke) (Live)	Fadi El Saadi	0	1	MXF602000164	0	Fonarte Latino, S.A. de C.V.	
AE	1683409286	Student Individual Monthly PAID	4	0.009167	0.036668	AED	MXF602300297	El Oyoun Soud (Ø§Ù„Ø¹ÙŠÙˆÙ† Ø§Ù„Ø³ÙˆØ¯)	Fadi El Saadi	0	1	MXF602300297	1	Fonarte Latino, S.A. de C.V.	
AE	1683409287	Student Individual Monthly PAID	1	0.009167	0.009167	AED	MXF602300298	Rohe Ya Nesma (Ø±ÙˆØ­ÙŠ ÙŠØ§ Ù†Ø³Ù…Ù‡)	Fadi El Saadi	0	1	MXF602300298	1	Fonarte Latino, S.A. de C.V.	
AE	1683409289	Student Individual Monthly PAID	1	0.009167	0.009167	AED	MXF602300299	Alf Leila (Ø§Ù„Ù Ù„ÙŠÙ„Ù‡)	Fadi El Saadi	0	1	MXF602300299	1	Fonarte Latino, S.A. de C.V.	
