Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency	Anio	Mes
08/03/2025	08/30/2025		MXF601000652	MXF601000652	1	0.71	0.71	EUR	S	406773740	Rachid Taha	Rock El Casbah	Fonarte Latino SA de CV		H		FR			0.99	EUR	2025	8
08/03/2025	08/30/2025		MXF600800159	MXF600800159	1	0.9	0.9	EUR	S	292730769	Los Folkloristas	Cacharpaya del Indio (Cacharpaya)	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR	2025	8
08/03/2025	08/30/2025		MXF600900859	MXF600900859	1	0.9	0.9	EUR	S	338347524	Los Folkloristas	Danza de los Viejitos	Fonarte Latino SA de CV		H		FR			1.29	EUR	2025	8
08/03/2025	08/30/2025		MXF600900168	MXF600900168	1	0.9	0.9	EUR	S	319834772	Inspector	Our House	Fonarte Latino, S.A. de C.V.		H		IT			1.29	EUR	2025	8
08/03/2025	08/30/2025		MXF602100404	MXF602100404	1	0.9	0.9	EUR	S	1563076405	Ricardo Larrea	Adventures in Namibia	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR	2025	8
08/03/2025	08/30/2025		MXF602100206	MXF602100206	1	0.9	0.9	EUR	S	1562441015	Ricardo Larrea	Greatness of Botswana	Fonarte Latino, S.A. de C.V.		H		DE			1.29	EUR	2025	8
08/03/2025	08/30/2025		MXF600601789	MXF600601789	1	0.71	0.71	EUR	S	160452190	BastÃ³n & Vicky MC	Nuestro Andar  (Baja California Sur)	Fonarte Latino, S.A. de C.V.		H		DE			0.99	EUR	2025	8
08/03/2025	08/30/2025		MXF600601790	MXF600601790	1	0.71	0.71	EUR	S	160452235	Next One	Kombinacion de Estiloz (Sonora)	Fonarte Latino, S.A. de C.V.		H		DE			0.99	EUR	2025	8
08/03/2025	08/30/2025		MXF601200792	MXF601200792	1	118	118	JPY	S	555716419	Fadi El Saadi	Set El Hosn	Fonarte Latino, S.A. de C.V.		H		JP			204	JPY	2025	8
08/03/2025	08/30/2025		MXF602400192	MXF602400192	1	148	148	JPY	S	1745169030	Fadi El Saadi	Al Eih Besalouni (Ø§Ù”Ù„ Ø§ÙŠÙ‡ Ø¨ÙŠØ³Ø§Ù”Ù„ÙˆÙ†ÙŠ)	Fonarte Latino, S.A. de C.V.		H		JP			255	JPY	2025	8
08/03/2025	08/30/2025		MXF602400193	MXF602400193	1	148	148	JPY	S	1745169031	Fadi El Saadi	Haramt Ahebak (Ø­Ø±Ù…Øª Ø§Ù”Ø­Ø¨Ùƒ)	Fonarte Latino, S.A. de C.V.		H		JP			255	JPY	2025	8
08/03/2025	08/30/2025		MXF601800261	MXF601800261	1	148	148	JPY	S	1357300000	Big Band Jazz de MÃ©xico	All of Me	Fonarte Latino, S.A. de C.V.		H		JP			255	JPY	2025	8
08/03/2025	08/30/2025		MXF601200799	MXF601200799	1	118	118	JPY	S	555716426	Fadi El Saadi	Qarawan Solo	Fonarte Latino, S.A. de C.V.		H		JP			204	JPY	2025	8
08/03/2025	08/30/2025		MXF602000159	MXF602000159	1	148	148	JPY	S	1502764067	Fadi El Saadi	Akdeb Aleik	Fonarte Latino, S.A. de C.V.		H		JP			255	JPY	2025	8
08/03/2025	08/30/2025		MXF602000305	MXF602000305	1	9.15	9.15	MXN	S	1509989990	Pasatono Orquesta	El Barco	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025	7.50984E+12		7.50984E+12	1	73.2	73.2	MXN	S	1509989989	Pasatono Orquesta	La Tiricia	Fonarte Latino, S.A. de C.V.		I		MX			120	MXN	2025	8
08/03/2025	08/30/2025		MXF601500564	MXF601500564	-1	9.15	-9.15	MXN	R	1019791091	Regina Orozco	CÃ³mo Te Va Mi Amor / MÃ­rame	Fonarte Latino, S.A. de C.V.		H		MX		CMA-C	-15	MXN	2025	8
08/03/2025	08/30/2025		MXF602000307	MXF602000307	1	9.15	9.15	MXN	S	1509989992	Pasatono Orquesta	Hace un AÃ±o	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF602000316	MXF602000316	1	9.15	9.15	MXN	S	1509990001	Pasatono Orquesta	Flor de Azalea	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF602000318	MXF602000318	2	9.15	18.3	MXN	S	1509990003	Pasatono Orquesta	El Maromero	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF601600554	MXF601600554	1	9.15	9.15	MXN	S	1173641175	Carlos MacÃ­as	Un Milagro	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF601600321	MXF601600321	1	9.15	9.15	MXN	S	1129420129	Burbujas	El Ecoloco	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF601600316	MXF601600316	1	9.15	9.15	MXN	S	1129420124	Burbujas	Odisea Burbujas	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MX3941300125	MX3941300125	1	9.15	9.15	MXN	S	1021336450	Jorge Dominguez	PerdÃ³name	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MX3941300124	MX3941300124	1	9.15	9.15	MXN	S	1021336449	Jorge Dominguez	Ella Es	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025		MXF601500566	MXF601500566	-1	9.15	-9.15	MXN	R	1019791093	Regina Orozco	El Me MintiÃ³	Fonarte Latino, S.A. de C.V.		H		MX		CMA-C	-15	MXN	2025	8
08/03/2025	08/30/2025	7.50984E+12		7.50984E+12	1	73.2	73.2	MXN	S	145982914	Fernando Delgadillo	Con Cierto Aire a Ti	Fonarte Latino, S.A. de C.V.		I		MX			120	MXN	2025	8
08/03/2025	08/30/2025		MXF602300474	MXF602300474	1	9.15	9.15	MXN	S	1703291915	Santaella, Falete	Que Se Me Acabe La Vida	Fonarte Latino, S.A. de C.V.		H		MX			15	MXN	2025	8
08/03/2025	08/30/2025	7.50984E+12		7.50984E+12	1	73.2	73.2	MXN	S	1740830829	Francisco Barrios "El Mastuerzo", Carnederes	Podrid@	Fonarte Latino, S.A. de C.V.		I		MX			120	MXN	2025	8
